year,title,type,season,actors
2018,日影,-,提高音量！我根本听不懂你在唱什么！,阿部隆史 吉冈里帆 千叶雄大 麻生久美子
2018,日影,-,摇摆的心,吉高由里子 松坂桃李
2018,日影,-,教诲师,大杉涟
2018,日影,-,来自大海的男人,藤冈靛 阿部纯子
2018,日影,-,樱桃男孩,林遣都
2018,日影,-,死神,福士苍汰 杉咲花 吉泽亮 真野惠里菜 田边诚一
2018,日影,-,沉睡的人鱼之家,筱原凉子 西岛秀俊 伊藤健太郎 川荣李奈
2018,日影,-,活着就是爱,趣里 菅田将晖 松重丰 仲里依纱
2018,日影,-,烤肉龙,真木阳子 井上真央 樱庭奈奈美 大泉洋 大谷亮平
2018,日影,-,爱上谎言的女人,长泽雅美 高桥一生 川荣李奈 黑木瞳 吉田钢太郎
2018,日影,-,爱之证,吉田羊 野村周平 吉田钢太郎 玉木宏 成田凌 广末凉子
2018,日影,-,犬猿,洼田正孝
2018,日影,-,空中轮胎,长濑智也 藤冈靛 高桥一生 深田恭子
2018,日影,-,空白的13年,高桥一生 松冈茉优 齐藤工 佐藤二朗
2018,日影,-,笑傲云天,福士苍汰 古川雄辉 东山纪之
2018,日影,-,等待春天的我们,土屋太凤
2018,日影,-,羊之树,锦户亮 木村文乃 北村一辉 松田龙平
2018,日影,-,老师君主,竹内凉真 滨边美波 川荣李奈 新川优爱
2018,日影,-,虽然只是弄丢了手机,北川景子 千叶雄大 田中圭 成田凌
2018,日影,-,那个女孩的俘虏,吉泽亮 新木优子
2018,日影,-,铁道家族,有村架纯 青木崇高
2018,日影,-,除蚤武士,阿部宽 前田敦子
2019,日影,-,七个会议,野村万斋 香川照之 及川光博 片冈爱之助
2019,日影,-,三更半夜居然要香蕉,大泉洋 高畑充希 三浦春马 佐藤浩市
2019,日影,-,不要哭，赤鬼,堤真一 柳乐优弥 川荣李奈 麻生祐未 木村绿子 龙星凉
2019,日影,-,东京喰种S,窪田正孝 山本舞香 知英 松田翔太
2019,日影,-,今天也是招人嫌的便当,筱原凉子 芳根京子 松井玲奈 佐藤隆太
2019,日影,-,你在月夜里闪耀光辉,永野芽郁 松本穗香 长谷川京子 及川光博
2019,日影,-,十二个想死的小孩,杉咲花 黑岛结菜 桥本环奈
2019,日影,-,大龄美女想相亲,黑川芽以 中村伦也 田中圭
2019,日影,-,平行世界 爱情故事,玉森裕太 吉冈里帆 染谷将太
2019,日影,-,恶之华,伊藤健太郎 玉城Tina 秋田汐梨 饭丰万理江
2019,日影,-,我在你床下,高良健吾
2019,日影,-,文福茶釜,骏河太郎 小芝风花
2019,日影,-,新闻记者,松坂桃李 本田翼 西田尚美
2019,日影,-,最初的晚餐,染谷将太 户田惠梨香 洼冢洋介 齐藤由贵
2019,日影,-,朋克武士,绫野刚 北川景子 东出昌大 染谷将太 浅野忠信
2019,日影,-,杀手寓言,冈田准一 木村文乃 山本美月 福士苍汰 柳乐优弥 向井理
2019,日影,-,杀手餐厅,藤原龙也 洼田正孝 本乡奏多 小栗旬
2019,日影,-,武士马拉松,佐藤健 小松菜奈 森山未来 染谷将太 青木崇高 竹中直人 长谷川博己
2019,日影,-,漫长的告别,苍井优 竹内结子 中村伦也
2019,日影,-,爱哭鬼的奇迹,松田龙平 永山绚斗 妻夫木聪 松隆子 染谷将太 新井浩文
2019,日影,-,王者天下,山崎贤人 吉泽亮 长泽雅美 桥本环奈
2019,日影,-,町田君的世界,岩田刚典 高畑充希 前田敦子 户田惠梨香 佐藤浩市 松岛菜菜子
2019,日影,-,直到遇见九月之恋,高桥一生 川口春奈 川荣李奈
2019,日影,-,看不见的目击者,吉冈里帆 高杉真宙
2019,日影,-,硬核,山田孝之 佐藤健 荒川良良
2019,日影,-,福尔图娜之瞳,神木隆之介 有村架純 志尊淳 DAIGO
2019,日影,-,笨蛋太郎,菅田将晖
2019,日影,-,行骗天下剧场版,长泽雅美 东出昌大 小日向文世 竹内结子 三浦春马 江口洋介 小栗旬
2019,日影,-,赤雪,井浦新 夏川结衣 佐藤浩市
2019,日影,-,遗愿清单,吉永小百合 天海佑希 贺来贤人 室毅 满岛光
2019,日影,-,铃木家的谎言,大森南朋
2019,日影,-,飞翔吧埼玉,二阶堂富美 岛崎遥香 间宫祥太朗 麻生久美子
1986,动画,-,天空之城,不明
1988,动画,-,豆豆龙,不明
2001,动画,-,千与千寻,不明
2010,动画,-,鬼神传,不明
2013,动画,-,辉夜姬物语,不明
2016,动画,-,你的名字,不明
2016,动画,-,在这个世界的角落,不明
2017,动画,-,名侦探柯南：唐红的恋歌,不明
2017,动画,-,春宵苦短少女前进吧,不明
2017,动画,-,蜡笔小新：宇宙人来袭,不明
2018,动画,-,名侦探柯南.零的执行人,不明
2018,动画,-,机器猫之暖炉 & 一夜间长满了柿子,不明
2020,日剧,冬,10的秘密,仲间由纪惠 向井理 仲里依纱 渡部笃郎
2020,日剧,冬,下辈子我再好好过,内田理央
2020,日剧,冬,刑警与检察官片区和地方检察院的24点,桐谷健太 东出昌大 比嘉爱未 矶村勇斗
2020,日剧,冬,古泷兄弟与四苦八苦,古馆宽治 泷藤贤一 芳根京子
2020,日剧,冬,因某些理由住在火星,仲村亨 要润 广末凉子 斋藤工 三浦翔平
2020,日剧,冬,在不黑不白的世界里，熊猫笑了,清野菜名 横滨流星
2020,日剧,冬,天才脑外科医的条件,天海佑希 椎名桔平 广濑爱丽丝
2020,日剧,冬,帕累托的误算~社会工作者被杀事件,桥本爱
2020,日剧,冬,帮您推翻不在场证明,滨边美波 安田显 柄本时生 成田凌
2020,日剧,冬,忒修斯之船,竹内凉真 铃木亮平 荣仓奈奈 上野树里
2020,日剧,冬,恋无止境,上白石萌音 佐藤健 香里奈
2020,日剧,冬,我从哪里来,中岛裕翔 间宫祥太朗
2020,日剧,冬,无须知道的事,吉高由里子 柄本佑 佐佐木藏之介
2020,日剧,冬,癌症专科医生病历簿,松下奈绪 木村佳乃 北大路欣也
2020,日剧,冬,看到他们就会明白,中山美穗 木村多江 大岛优子
2020,日剧,冬,绝对零度4～未然犯罪潜入搜查,泽村一树 本田翼 横山裕
2020,日剧,冬,请不要在病房里念佛,伊藤英明 中谷美纪 室刚
2020,日剧,冬,这个男人是我人生最大的错误,速水重道 松井爱莉
2020,日剧,春,花生酱三明治,伊藤健太郎 泷本美织
2020,日剧,春,赝作之男人真命苦,桂雀雀 常盘贵子
2020,日剧,春,铁之骨,神木隆之介 土屋太凤 小雪 向井理
2004,晨间剧,春,天花,藤泽惠麻 香川照之 木村佳乃
